id,name_vi,name_en,description_vi,depends_on,order
SK01,Nhận biết số 0-10,Number Recognition 0-10,Nhận biết và đọc các số từ 0 đến 10,,1
SK02,Nhận biết số 0-100,Number Recognition 0-100,Nhận biết và đọc các số từ 0 đến 100,SK01,2
SK03,Đếm số,Counting,Đếm xuôi và ngược theo các bước 1 2 5 10,SK01,3
SK04,So sánh số,Number Comparison,So sánh hai số dùng dấu > < = trong phạm vi 99999,SK02,4
SK05,Phép cộng đơn giản,Simple Addition,Cộng hai số trong phạm vi 100,SK03,5
SK06,Phép trừ đơn giản,Simple Subtraction,Trừ hai số trong phạm vi 100,SK05,6
SK07,Điền số còn thiếu,Missing Number,Tìm số còn thiếu trong dãy hoặc phép tính,SK04 SK05,7
SK08,Chọn min/max,Min/Max Selection,Chọn số lớn nhất hoặc bé nhất trong nhóm số phạm vi 1000,SK04,8
